num_of_rooms,city,year,quarter,district,num_of_transactions,avg_price
4.5-5,Beer Sheba,2022,4,South,101,1779.9
5.5-6,Beer Sheba,2022,4,South,35,2314.7
1-2,Beer Sheba,2023,1,South,74,597
2.5-3,Beer Sheba,2023,1,South,330,846.2
3.5-4,Beer Sheba,2023,1,South,315,1255.6
4.5-5,Beer Sheba,2023,1,South,133,1772.6
5.5-6,Beer Sheba,2023,1,South,33,2125.1
1-2,Beer Sheba,2023,2,South,55,630.1
2.5-3,Beer Sheba,2023,2,South,291,860.1
3.5-4,Beer Sheba,2023,2,South,295,1288.1
4.5-5,Beer Sheba,2023,2,South,116,1814.3
5.5-6,Beer Sheba,2023,2,South,36,2298.2
1-2,Beer Sheba,2023,3,South,88,596.3
2.5-3,Beer Sheba,2023,3,South,282,844.2
3.5-4,Beer Sheba,2023,3,South,307,1241.1
4.5-5,Beer Sheba,2023,3,South,109,1796.2
5.5-6,Beer Sheba,2023,3,South,33,2383.6
1-2,Beer Sheba,2023,4,South,38,565.3
2.5-3,Beer Sheba,2023,4,South,160,872.7
3.5-4,Beer Sheba,2023,4,South,184,1234.4
4.5-5,Beer Sheba,2023,4,South,69,1784.8
5.5-6,Beer Sheba,2023,4,South,11,2511.8
1-2,Beit Shemesh,2019,1,Jerusalem,5,-
2.5-3,Beit Shemesh,2019,1,Jerusalem,384,965.2
3.5-4,Beit Shemesh,2019,1,Jerusalem,222,1229.4
4.5-5,Beit Shemesh,2019,1,Jerusalem,230,1464.7
5.5-6,Beit Shemesh,2019,1,Jerusalem,37,1748.1
1-2,Beit Shemesh,2019,2,Jerusalem,5,727
2.5-3,Beit Shemesh,2019,2,Jerusalem,196,1110.4
3.5-4,Beit Shemesh,2019,2,Jerusalem,100,1407.9
4.5-5,Beit Shemesh,2019,2,Jerusalem,135,1587.3
5.5-6,Beit Shemesh,2019,2,Jerusalem,19,2029.6
1-2,Beit Shemesh,2019,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2019,3,Jerusalem,336,1024.7
3.5-4,Beit Shemesh,2019,3,Jerusalem,256,1197.9
4.5-5,Beit Shemesh,2019,3,Jerusalem,225,1473.4
5.5-6,Beit Shemesh,2019,3,Jerusalem,27,1841.7
1-2,Beit Shemesh,2019,4,Jerusalem,10,1048.5
2.5-3,Beit Shemesh,2019,4,Jerusalem,571,981.5
3.5-4,Beit Shemesh,2019,4,Jerusalem,376,1259.9
4.5-5,Beit Shemesh,2019,4,Jerusalem,199,1487.1
5.5-6,Beit Shemesh,2019,4,Jerusalem,54,1704.5
1-2,Beit Shemesh,2020,1,Jerusalem,8,918.2
2.5-3,Beit Shemesh,2020,1,Jerusalem,211,1128.7
3.5-4,Beit Shemesh,2020,1,Jerusalem,160,1434.8
4.5-5,Beit Shemesh,2020,1,Jerusalem,160,1648.3
5.5-6,Beit Shemesh,2020,1,Jerusalem,27,2119.1
1-2,Beit Shemesh,2020,2,Jerusalem,8,918.2
2.5-3,Beit Shemesh,2020,2,Jerusalem,211,1128.7
3.5-4,Beit Shemesh,2020,2,Jerusalem,160,1434.8
4.5-5,Beit Shemesh,2020,2,Jerusalem,160,1648.3
5.5-6,Beit Shemesh,2020,2,Jerusalem,27,2119.1
1-2,Beit Shemesh,2020,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2020,3,Jerusalem,379,1123.9
3.5-4,Beit Shemesh,2020,3,Jerusalem,226,1388.4
4.5-5,Beit Shemesh,2020,3,Jerusalem,196,1732.7
5.5-6,Beit Shemesh,2020,3,Jerusalem,53,1815.4
1-2,Beit Shemesh,2020,4,Jerusalem,2,-
2.5-3,Beit Shemesh,2020,4,Jerusalem,403,1133.1
3.5-4,Beit Shemesh,2020,4,Jerusalem,192,1472.8
4.5-5,Beit Shemesh,2020,4,Jerusalem,144,1774.9
5.5-6,Beit Shemesh,2020,4,Jerusalem,34,2178.5
1-2,Beit Shemesh,2021,1,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,1,Jerusalem,403,1133.1
3.5-4,Beit Shemesh,2021,1,Jerusalem,192,1472.8
4.5-5,Beit Shemesh,2021,1,Jerusalem,144,1774.9
5.5-6,Beit Shemesh,2021,1,Jerusalem,34,2178.5
1-2,Beit Shemesh,2021,2,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,2,Jerusalem,229,1186.6
3.5-4,Beit Shemesh,2021,2,Jerusalem,146,1560.8
4.5-5,Beit Shemesh,2021,2,Jerusalem,96,2000
5.5-6,Beit Shemesh,2021,2,Jerusalem,22,2374.4
1-2,Beit Shemesh,2021,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,3,Jerusalem,229,1186.6
3.5-4,Beit Shemesh,2021,3,Jerusalem,146,1560.8
4.5-5,Beit Shemesh,2021,3,Jerusalem,96,2000
5.5-6,Beit Shemesh,2021,3,Jerusalem,22,2374.4
1-2,Beit Shemesh,2021,4,Jerusalem,2,-
2.5-3,Beit Shemesh,2021,4,Jerusalem,229,1186.6
3.5-4,Beit Shemesh,2021,4,Jerusalem,146,1560.8
4.5-5,Beit Shemesh,2021,4,Jerusalem,96,2000
5.5-6,Beit Shemesh,2021,4,Jerusalem,22,2374.4
1-2,Beit Shemesh,2022,1,Jerusalem,2,-
2.5-3,Beit Shemesh,2022,1,Jerusalem,420,1207
3.5-4,Beit Shemesh,2022,1,Jerusalem,238,1584.3
4.5-5,Beit Shemesh,2022,1,Jerusalem,144,2437.3
5.5-6,Beit Shemesh,2022,1,Jerusalem,24,3143.9
1-2,Beit Shemesh,2022,2,Jerusalem,7,1001.8
2.5-3,Beit Shemesh,2022,2,Jerusalem,243,1237.4
3.5-4,Beit Shemesh,2022,2,Jerusalem,144,1833.4
4.5-5,Beit Shemesh,2022,2,Jerusalem,82,2372.3
5.5-6,Beit Shemesh,2022,2,Jerusalem,25,3071.4
1-2,Beit Shemesh,2022,3,Jerusalem,2,-
2.5-3,Beit Shemesh,2022,3,Jerusalem,212,1428.1
3.5-4,Beit Shemesh,2022,3,Jerusalem,157,1795
4.5-5,Beit Shemesh,2022,3,Jerusalem,81,2473.5
5.5-6,Beit Shemesh,2022,3,Jerusalem,10,3271
1-2,Beit Shemesh,2022,4,Jerusalem,3,-
2.5-3,Beit Shemesh,2022,4,Jerusalem,103,1831.7
3.5-4,Beit Shemesh,2022,4,Jerusalem,101,2176.1
4.5-5,Beit Shemesh,2022,4,Jerusalem,75,2670.7
5.5-6,Beit Shemesh,2022,4,Jerusalem,7,2972
1-2,Beit Shemesh,2023,1,Jerusalem,3,-
2.5-3,Beit Shemesh,2023,1,Jerusalem,120,1808.5
3.5-4,Beit Shemesh,2023,1,Jerusalem,92,2256.6
4.5-5,Beit Shemesh,2023,1,Jerusalem,76,2822.5
5.5-6,Beit Shemesh,2023,1,Jerusalem,18,3036.9
1-2,Beit Shemesh,2023,2,Jerusalem,4,-
2.5-3,Beit Shemesh,2023,2,Jerusalem,101,1844.1
3.5-4,Beit Shemesh,2023,2,Jerusalem,81,2250.7
